global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
787.9244429384378	n/a	620824.9277798475	n/a	784.6809242069721	n/a	n/a	615724.152814308	746.383326714906	n/a	n/a	557088.0703980102	748.2783779196852	615.3353702671387	n/a	n/a	n/a	n/a	-0.0219641069	-0.0812090411	-0.0658874795	0.041343277	0.0163161403	-0.0320025742	0.2054928143	-0.0126450427	0.0297845783	-0.003281793	0.0556708854	-0.0668931745	0.0449737937	-0.0887524837	0.1169585218	-0.0440988575	0.1534454922	-0.0667206142	-0.003573071	0.0020563623	-0.0139057869	0.0282058505	-0.0628036246	0.1645917521	-0.0463543757	0.0050375753	-0.023471868	0.0754089872	-0.0915024619	0.0804147598	-0.0063653249	0.1032031892	-0.0102772633	0.0269715048	0.0294641411	-0.0894561198	0.0324420506	0.012072943	-0.0640914266	-0.0125228009	0.0516272419	-0.0193506392	-0.0198620998	0.0206243323	0.0173119532	0.0176014124	-0.1075284376	-0.0325247097	0.1198370721	0.0004755989	0.1076910406	-0.1239411742	0.0823510265	0.0143287477	0.0588291789	-0.1279684506	-0.0384529823	0.134759182	-0.0667262264	0.060374916	-0.2015757703	0.0647237007	-0.0216433397	0.1013737685	-0.0789003046	0.165019497	-0.0227250245	0.1337011362	-0.0829960382	0.0719724975	-0.0322882872	0.0437249657	-0.0123969725	0.0001813034	-0.0042828702	0.0056054796	-0.0339349133	0.1074584188	-0.0698099743	0.1161795589	-0.058123289	0.0626682939	-0.1259159747	0.0460231473	-0.0354613645	-0.0549665004	0.1161470898	0.0428845848	-0.0650277267	-0.0287541494	0.0612395271	-0.0179306808	-0.0107730169	-0.0252978825	-0.0426313384	0.0750771677	-0.1988395407	-0.0714829513	-0.0378675009	0.0606569165	0.0609176207	-0.1096282724	0.1147017419	0.1146833673	0.1146527451	0.0194599	n/a	0.0003786877080099	n/a	-0.186892	n/a	0.034928619664	n/a	-0.249541	n/a	n/a	0.062270710681	0.00123348	n/a	n/a	1.5214729103999998e-06	-0.000537078	n/a	2.88452778084e-07	n/a	0.000284897	n/a	8.1166300609e-08	n/a
786.8990561656976	-1.0253867727401484	619210.1245944657	1.0514180337104568	778.0266648083925	-6.6542593985795975	44.2791681435849	605325.4911528708	745.6951639198363	-0.6881627950697293	0.4735680325181823	556061.2774934316	746.566143880679	609.3266769542414	0.975639	19.731638	0.20224837	0.119627	-0.0069903943	-0.061578907	-0.0631599366	-0.0257950829	-0.0365285002	-0.0097281897	0.1264451781	0.0794017952	-0.0199069423	0.0496967438	0.0563233139	0.0029917267	0.0008239175	-0.0929358385	0.0343786434	-0.0420445668	0.1771539058	-0.0295653151	0.1039749675	-0.0626288846	-0.0531920068	0.1249864535	0.1104772653	0.0500644312	0.020164195	0.05446005	0.0187994256	-0.0077395807	-0.1003300432	0.1024245458	0.0045569791	-0.0617199019	-0.0686870032	0.1204690156	0.0113283444	0.0087503278	0.0411560328	0.0678325873	0.006526003	-0.1550164845	0.0748167537	0.0722543297	0.1858273149	0.0448961478	-0.0111456596	0.0663885759	-0.0372315231	-0.0932141234	-0.0141014627	-0.0293674215	-0.077912964	0.0716414113	0.050372944	0.1436230984	0.0266024814	0.0558792864	0.0349891755	0.1106491867	0.0161627973	0.0108094197	-0.0717860929	0.1026869465	0.0134251008	0.0532835848	-0.1032960678	0.0301166297	-0.0114579517	0.1489726084	-0.0724111164	-0.0144546896	0.1321182192	-0.0671051025	-0.0083466089	0.0015052201	0.0620291308	0.0184237782	-0.0512696668	0.1475360782	-0.0429084539	-0.0982529249	0.0596726607	-0.0338830178	-0.0610198701	0.0026549047	0.0024441924	0.0761276169	0.0388181859	-0.0384838394	-0.1123784795	0.1008979329	-0.0047134584	-0.0897703722	-0.0564678482	0.1128507991	-0.1638985672	0.0364840369	0.0163609848	0.0597708454	0.003300214	0.0597038309	0.0316554596	0.0261923859	0.1146527451	0.1144874327	0.1142120884	-0.0081020699999999	-0.0275619699999999	6.56435382848984e-05	0.0007596621902808	-0.0779146	0.1089774	0.00607068489316	0.01187607371076	-0.219614	0.029927	0.000895625329	0.048230308996	0.0008752509999999	-0.000358229	1.283280164410716e-07	7.660643130008249e-07	-0.000203643	0.000333435	4.1470471449e-08	1.11178899225e-07	0.000308873	2.397599999999999e-05	9.5402530129e-08	5.748485759999993e-10
787.0651422198173	0.1660860541196598	619471.5380975013	0.0275845773730385	776.2939656078815	-1.7326992005109787	3.0022465194513845	602632.3210392108	745.1396718415633	-0.5554920782730051	0.3085714490240623	555233.1305521526	746.2225219865484	607.5300457898309	1.014383	20.515215	0.196508947	0.10929	-0.0070775074	-0.0253155821	-0.0935881911	-0.0391096304	-0.0301274538	-0.0342777402	0.0370206027	-0.0366862954	0.1251602676	0.0850866368	0.0912849338	-0.057112094	0.122584779	-0.1453214562	0.1016899784	0.0009064803	0.1741811363	-0.0201787902	0.0874163134	0.3342610781	-0.026643889	-0.0074113346	-0.1173371674	0.062490309	-0.1379169313	-0.0474038969	-0.0224144085	-0.0661505279	0.0980602734	0.1025047046	0.1005342125	0.0011119159	0.0372206964	0.0822190714	-0.0157666144	-0.1252985752	0.0983777247	0.0447060843	0.0934528224	-0.1380068398	-0.0396429988	0.0320738577	0.0331876163	-0.0914149131	-0.0010386218	-0.0539062703	-0.1006373544	0.045065287	0.094231854	-0.0739096272	0.0098406663	0.1188915784	-0.0612684232	-0.0422235721	-0.0616258002	0.0506203065	0.0403441749	0.1705865971	0.0495732163	0.0849619104	-0.0780397326	0.0051509545	0.0020641792	0.2549014288	-0.1488248719	0.1878435293	0.0353449005	-0.1536837266	-0.2174488903	0.0592630852	0.0388550476	0.0367404629	0.0426836132	0.1920315607	0.1140760808	-0.0495344426	0.1277654858	-0.0817167504	0.0092517271	-0.035346248	-0.0922000436	0.1049481729	-0.0054818945	-0.020509646	-0.0903088184	-0.0335578492	-0.0185291623	-0.075017359	-0.0374427979	0.017897262	0.0221287519	-0.033364631	0.0492171124	-0.1031599182	-0.1836891217	0.0207711603	0.1455483714	-0.0821044777	-0.0564015838	-0.013374707	0.0971187673	0.0168694561	0.1145547726	0.1140958982	0.1133324686	-0.000174573	0.0079274969999999	3.0475732329e-08	6.284520868500741e-05	-0.170957	-0.0930424	0.0292262958489999	0.0086568881977599	-0.268359	-0.048745	0.002376075025	0.072016552881	0.000767378	-0.0001078729999999	1.1636584128978428e-08	5.88868994884e-07	-0.000722778	-0.000519135	5.22408037284e-07	2.69501148225e-07	-1.05879e-22	-0.000308873	1.1210362640999999e-44	9.5402530129e-08
786.6229782122007	-0.4421640076166113	618775.7098514324	0.1955090096315827	773.6495680063963	-2.6443976014852524	6.992838674740955	598533.6540764836	745.1381811593521	-0.0014906822111697	2.2221334546979927e-06	555230.9090214674	745.5163799026819	615.1496171951294	0.995471	20.132727	0.061673001	0.0368618	-0.0417553069	-0.055577399	-0.1136891459	-0.0135326169	-0.1127524224	0.0338882084	0.0161802505	-0.0331648676	-0.0247624812	0.0897438466	0.1152705043	-0.127080023	-0.0464084186	-0.0904740495	0.1024034532	0.0808936043	0.1095714459	-0.0027126036	0.0991787064	0.1124596183	-0.0541900764	-0.0390707837	0.0816282847	0.0774934955	-0.0575299921	-0.0789752329	-0.0753976949	0.0453653317	-0.0207634218	-0.0228249346	0.1253203905	-0.1135241638	0.0939487798	-0.1272180079	-0.0338194002	-0.034078854	0.1059406407	-0.0590288764	-0.0437155473	0.0459608384	0.1810461252	-0.1027745906	-0.1794723879	-0.0064846453	-0.0647764931	0.0302051227	0.112747123	-0.0705735086	-0.0578773176	-0.1288283513	0.0002600212	-0.0655086884	0.0442825585	-0.0745943598	-0.0282542163	0.0640018043	0.0724813024	0.1269784613	0.1582322589	-0.0637668127	-0.0236863885	0.0552272114	0.0529049998	0.1341101145	-0.1044297475	-0.0064160608	-0.0159439744	-0.0839633986	-0.2291833008	0.059488674	0.0059325669	0.0029353277	0.0516450457	-0.0084908009	0.0907274666	0.0393059732	-0.104171187	-0.0655283283	-0.0448989473	-0.0512484486	-0.0319337306	-0.0877260349	-0.0010644232	0.0588691821	0.0658216144	-0.0110434642	-0.0198920403	0.0624196725	0.1299140346	0.1204475961	0.1620630235	0.0641294576	-0.103156117	0.1457267165	0.076250839	0.0745492973	-0.0932411049	-0.0973957897	0.1292654813	-0.0594053572	-0.0736743207	0.0735641815	0.1144078661	0.1135094328	0.1120172664	-0.000204424	-2.985100000000001e-05	4.1789171776e-08	8.910822010000004e-10	-0.14345	0.027507	0.0205779025	0.000756635049	-0.246681	0.021678	0.000469935684	0.060851515761	0.000667063	-0.000100315	1.0063099225000004e-08	4.4497304596900005e-07	-0.000871626	-0.000148848	7.59731883876e-07	2.215572710400001e-08	-1.05879e-22	0.0	1.1210362640999999e-44	0.0
786.3417833555408	-0.2811948566599085	618333.4002507722	0.0790705474119864	773.3280290365219	-0.321538969874382	0.1033873091478787	598036.2404935117	747.5601777297269	2.421996570374745	5.866067386907027	558846.2193273009	747.9804269066007	614.0759749973522	0.965945	19.535585	0.205908771	0.121079	-0.0160816873	-0.0582835717	-0.0432234919	-0.06637415	-0.0541087705	0.0190696072	0.0314922576	0.086972203	0.0014322274	-0.0316526781	0.0640484876	-0.0504780317	-0.0610840242	-0.0240464268	0.1207200236	-0.0121205546	-0.0503059258	-0.011671367	0.0187037117	0.0625507867	-0.0886488029	0.0135011451	0.0912173687	0.1303219257	0.1144567535	0.0425342161	0.0282430491	-0.0568659164	0.1007487306	-0.0716273353	0.0309396825	0.0477184075	-0.1058843209	0.0789295806	0.0344862278	0.0346309134	0.0030692847	-0.0293770827	0.0863152873	0.0353268836	-0.0459916992	0.0774412234	0.0321347133	-0.0292178302	-0.0908051447	-0.0206598942	-0.1451791809	-0.1349968749	-0.1781622555	0.1771595813	-0.0922027483	0.077271622	0.0051123356	0.0330458765	-0.0059637651	0.0251964783	0.0038209002	0.0747207191	0.0983068314	-0.0068136433	-0.0631583153	0.1059638364	0.0457799862	-0.0234925077	-0.0357335932	-0.1396571224	0.0050224587	0.0134476364	-0.064187846	-0.0856186758	0.0115790838	-0.1702220726	-0.025895054	0.0714977394	0.0923888787	0.0134873117	0.0477526072	0.0264219108	0.0700993683	-0.0076883935	-0.0275569755	-0.0382239185	-0.0180499767	-0.0269938209	0.0179291893	0.1056265475	0.0620428364	-0.1445777044	-0.0432981049	-0.0941792967	-0.0421354247	-0.0505280404	0.0387181761	-0.0743324764	0.110190139	-0.0645362286	-0.0203278958	0.1918974308	0.1102920392	-0.0037047515	0.0502553322	-0.1158218551	0.1142120884	0.1127290384	0.1102715368	-0.000121603	8.282100000000001e-05	1.4787289608999998e-08	6.859318041000002e-09	-0.0454772	0.0979728	0.00206817571984	0.00959866953984	-0.185203	0.061478	0.003779544484	0.034300151209	0.000667063	0.0	0.0	4.4497304596900005e-07	-0.000508684	0.000362942	2.58759411856e-07	1.31726895364e-07	0.000564561	0.000564561	3.18729122721e-07	3.18729122721e-07
785.3615487041008	-0.9802346514400142	616792.7621829036	0.9608599718837262	772.1911839097738	-1.136845126748085	1.2924168422108695	596279.2245079782	746.2000792802294	-1.3600984494975137	1.8498677923255409	556814.5583178207	746.6110273327414	605.5840881607112	0.955045	19.315151	0.074855103	0.0544493	-0.0037491826	-0.034254898	-0.0356971769	-0.0571968518	-0.0495887108	-0.0490665581	0.0939631693	0.0540931886	-0.0094789099	0.0160608511	0.0017323645	0.0048367052	-0.0107868154	-0.1588043854	0.0963653366	-0.1068224194	0.1153904174	-0.0668469369	0.0097989699	-0.0771661795	-0.0256501061	-0.0293270433	-0.0387241125	0.1115669247	0.0492263224	0.0681286342	0.0414450984	-0.120758923	0.0062635538	-0.016123368	-0.0592497419	-0.0264853636	-0.2719732457	-0.0204090212	-0.1433054092	-0.0921875944	-0.0926657225	-0.1393902374	0.078346671	0.0312532998	-0.1289858171	-0.1048187547	-0.0029410798	0.0129644938	-0.1476559775	-0.1155966008	0.0256386203	0.0769631386	-0.0436681165	-0.0654392876	0.039358173	0.0331082211	-0.0023604709	0.0091260813	-0.0724603866	-0.0096743755	0.0239940542	0.0786017397	0.0229616937	0.0465915756	-0.0856132283	0.131382364	-0.0304240713	-0.033046151	-0.1165441121	0.0516851068	0.0214485237	0.0514193847	-0.0122157998	0.0026125356	0.106955901	-0.0867312568	-0.0014254622	-0.0770076738	-0.0145597325	0.0251095554	-0.0551569119	0.0124341544	0.0968883121	0.0265308403	-0.1265099856	-0.0374080265	-0.0476292976	-0.0628734009	-0.0240096035	0.1352056469	-0.1566044464	-0.0882354632	-0.0213150223	-0.212126181	-0.0606666824	0.1220350888	-0.0894210548	-0.0251089432	0.0761232202	-0.0397025345	0.1706244889	0.0029473258	-0.0796485823	-0.1056276573	0.0179817295	-0.0234977312	0.1139675232	0.1117560484	0.1081019891	0.0134512	0.013572803	0.00018093478144	0.0001842209812768	-0.0978237	-0.0523465	0.00956947628169	0.0027401560622499	-0.182668	0.002535	6.426225000000048e-06	0.033367598224	0.000667063	0.0	0.0	4.4497304596900005e-07	-0.000508684	0.0	2.58759411856e-07	0.0	0.000436545	-0.000128016	1.90571537025e-07	1.6388096256e-08
784.0130155661359	-1.3485331379648642	614676.4085771061	1.8185416241893635	779.20490026474	7.013716354966164	49.19221710791985	607160.2765965834	746.7451152875639	0.5450360073344882	0.2970642492911203	557628.2672058371	747.8668857043184	603.9864835318397	0.968185	19.580896	0.088054665	0.0427271	0.0154322825	-0.046807183	0.0519611688	0.0029106923	0.024745302	0.0013119377	0.1061894831	-0.0928048547	-0.0764878603	0.0175498154	0.0070586073	-0.0009641195	-0.047439262	0.0793434504	0.0857163859	-0.1689977238	0.0860442674	-0.1660551289	-0.0042650236	-0.206812385	0.0528118438	0.0007957392	-0.0187570379	-0.0266381368	0.1119182129	0.0159358195	-0.1358053528	-0.025063405	0.1456093361	-0.0604949971	0.0475823867	0.1093949482	0.0143241002	-0.0186945565	0.0951956585	0.072653703	-0.0160063312	-0.0109851577	-0.1979229279	0.0062007101	-0.0365960081	-0.0640899657	-0.0468695948	-0.0073722489	0.0310793021	-0.0249061117	0.0242068068	0.0597306979	-0.0964568374	0.0051699729	-0.0134245041	0.0083439057	0.0575505832	0.0975946305	0.0361645035	-0.0378780397	0.0234167791	0.0108744674	-0.1073758457	-0.0286333156	-0.1364785074	0.0639773469	0.0281558248	-0.0563012333	-0.0948224489	0.0445117082	-0.0513409421	0.1082516732	0.0986014355	-0.1024896207	-0.0335453211	-0.1379578893	0.0326528221	-0.0666192808	-0.2179636573	-0.0533726795	-0.0280492422	-0.0591448627	-0.0869533934	0.0083127064	-0.0844941016	-0.0588795325	0.0048668884	0.1446637941	0.1505437666	-0.069544212	0.099933859	0.1070624352	-0.0675368591	-0.01425085	-0.1177741164	0.0353856074	-0.0193986534	-0.0293354217	0.0669262556	0.0102229363	-0.1189143911	0.0560100223	0.0422996625	0.0725226054	-0.04846946	-0.09670629	0.1136742748	0.110592125	0.105516962	0.0073130499999999	-0.0061381500000001	5.3480700302498536e-05	3.767688542250122e-05	-0.113931	-0.0161073	0.012980272761	0.00025944511329	-0.162496	0.0201719999999999	0.0004069095839999	0.026404950016	0.000667063	0.0	0.0	4.4497304596900005e-07	-3.24847e-05	0.0004761993	1.0552557340899999e-09	2.2676577332049e-07	0.0	-0.000436545	0.0	1.90571537025e-07
783.3440542826891	-0.6689612834468335	613627.9073800405	0.4475091987508346	777.3028896152973	-1.9020106494426727	3.6176445105933377	604199.7822042911	745.8275365001907	-0.9175787873731452	0.8419508310371715	556258.7142019434	747.2223145098199	595.0727494323955	0.967942	19.575983	0.168613215	0.0980745	0.0447884195	0.0160972821	0.1410561008	-0.011005357	0.033142076	0.1228962271	0.0979472694	0.092550358	0.0088005077	0.0686766339	-0.0808602039	0.0056442809	-0.0023354658	0.0914214857	0.0523293621	-0.0912036723	-0.0432742309	0.0167164129	-0.036123042	-0.1069203482	-0.0642729965	0.1194617878	0.0497615178	-0.0230718357	-0.0720453439	0.1127513657	0.0317840601	0.0020550541	0.1184082778	-0.0045476091	-0.0870758449	-0.005879413	0.0051082609	-0.0723628699	-0.026430141	0.006023067	-0.0736434072	-0.0673936282	-0.1594760816	-0.0538645015	0.0381821596	0.0639913338	0.1169055851	-0.0960320662	-0.0701119723	-0.0480789586	-0.0483172022	-0.1995668989	-0.2053181154	0.0139255462	0.104457634	-0.0792369236	-0.0856787128	0.1036180657	-0.1155497586	-0.0387894048	0.0787181474	-0.0676895532	-0.1346252322	-0.0321647914	-0.0731186182	-0.0166057646	0.0257190141	-0.0170785821	0.0521105356	-0.0232465439	-0.0508275889	-0.0224554999	0.0677046392	0.0447779341	0.078592015	-0.1371711246	0.0299622402	-0.0694924871	0.0104216313	0.0169775341	0.0317587982	0.1371960563	-0.0490029972	0.0284576202	-0.0412894873	0.0237202635	-0.0140646115	0.0974292216	0.117445049	-0.1086449682	-0.0272190341	-0.101535771	0.0111948702	0.0650246698	-0.0971400694	-0.0746375956	-0.0089411324	0.0692137654	0.0751935003	0.1716122217	0.1117513911	0.2256206064	-0.022192746	-0.0853916632	-0.0327480532	-0.0321819522	0.1133324686	0.1092392569	0.1025263906	0.0165122	0.0091991500000001	0.00027265274884	8.462436072250184e-05	-0.0424905	0.0714405	0.00180544259025	0.00510374504025	-0.117353	0.045143	0.002037890449	0.013771726609	-0.000144638	-0.000811701	6.588585134009999e-07	2.0920151044e-08	1.24256e-05	4.49103e-05	1.5439553536e-10	2.0169350460899995e-09	0.0	0.0	0.0	0.0
783.7224333025074	0.3783790198183396	614220.8524616031	0.1431706826386874	777.8483252674341	0.5454356521368027	0.2975000506218992	605048.017121352	745.4903015930973	-0.3372349070933751	0.1137273825622773	555755.7897693672	747.1870922056709	586.8218589179656	0.987021	19.961843	0.100238865	0.0662128	0.0481520702	0.0530658355	0.0947875142	-0.0072080229	0.0973264067	0.0337075312	-0.0870771391	0.0093367461	0.0003295973	0.0755541932	-0.0160075878	0.0313275454	-0.0340985127	-0.0264443309	-0.0724884993	-0.0102252103	0.0942981041	0.1364254338	-0.0457398963	0.0798014002	0.132485116	0.0776529477	-0.0879027687	-0.0087438196	-0.0382165821	0.0402330051	-0.0263235569	-0.197884522	-0.1313746135	-0.132983786	-0.0126448827	-0.0668306344	0.0705863549	-0.0755326626	0.0116286767	0.1237596822	-0.0605987509	-0.0243559651	-0.1421260941	-0.0676689225	-0.1302085143	-0.1354896527	0.0413019688	0.0391490284	0.1348283907	0.1200470694	-0.0319954946	0.0388175662	0.1154288789	-0.1251620556	0.12419178	0.0073381508	0.1893626036	0.0493887043	-0.1216968714	0.0800751847	0.0455974735	-0.0143196579	-0.0549162209	-0.0147030641	0.1028002103	-0.043108189	-0.0845797318	0.1317326089	-0.059325253	0.0654025995	0.1039374807	-0.087372093	0.0668588883	0.0734336125	0.101233254	-0.0592617854	-0.0717471099	-0.0465863551	-0.1547083917	0.0101396818	0.0483192357	0.0065268155	-0.0150788261	-0.0643614594	0.224248509	-0.0583671552	-0.0807593853	-0.0689720478	0.1466543008	-0.0654604918	-0.1280052188	0.1092023785	-0.0285807143	-0.1310841469	-0.0469180049	-0.1380070866	0.1028636858	0.0392534791	-0.069323858	0.1373385968	0.021314262	-0.0889085711	-0.0702074449	-0.0459245038	-0.0924558369	0.0151220821	0.1129422506	0.1076997553	0.099141769	-0.00184298	-0.01835518	3.3965752804e-06	0.0003369126328324	-0.101622	-0.0591315	0.010327030884	0.00349653429225	-0.1173	5.299999999999749e-05	2.808999999999734e-09	0.01375929	0.000308342	0.00045298	2.0519088040000002e-07	9.507478896400001e-08	1.34293e-05	1.0037000000000002e-06	1.8034609849e-10	1.0074136900000005e-12	0.0	0.0	0.0	0.0
785.6591898326652	1.9367565301578225	617260.3625685199	3.751025857108968	778.6298802495003	0.7815549820661545	0.610828189992427	606264.4904173511	746.5938749295077	1.1035733364103637	1.2178741088359013	557402.4140822574	747.7440013542889	595.0030260401613	0.950195	19.217056	0.129067585	0.0649161	0.0245464154	0.0326868111	0.0246492267	0.0085966159	0.0086877967	0.0134219802	-0.1142489304	-0.0580780796	-0.0232146689	0.0178751704	0.0091167379	-0.0455846486	0.0032893015	0.1116396239	-0.0373356518	0.0114861408	-0.0501328465	0.0316144309	0.197195776	0.1025984311	-0.0332331612	-0.1234393666	-0.0781038537	-0.0720447011	-0.0401169354	0.1333281984	-0.0905907691	0.0722151017	0.0859035221	-0.0395727773	0.1028113792	0.0696685584	0.0238235904	0.1879597361	-0.0244417377	0.1800541863	-0.0491935418	0.1186131533	-0.234014025	0.0251348962	-0.1602318068	0.1117002652	-0.0753305606	0.0690177822	-0.0445530416	-0.1342145109	0.1227392611	-0.0936365772	-0.0172755424	-0.1515991389	0.1031537084	-0.0295878258	-0.02335918	-0.0400572944	0.0811249839	-0.0324289006	0.0133125	-0.0250298705	0.030190584	-0.0635709883	0.0518607856	-0.1162293167	0.028355994	0.1155024918	0.0062851147	-0.0901124419	-0.0598264723	-0.1060685509	-0.0729801357	-0.1440241237	-0.0302710764	-0.1068435441	0.0199509632	0.133735987	-0.1413460126	0.0529281751	0.0296259028	0.0552730731	-0.1045098984	0.0471368815	-0.0199921302	0.1408522374	0.0890893505	0.2290771884	-0.0856699893	-0.0264912311	0.0069564496	0.2779149243	-0.1450383214	-0.0108778793	0.0671622258	-0.0753891276	0.0225074676	-0.1599604825	-0.006558134	0.1193062922	-0.0650768925	0.036724807	-0.0652628573	-0.1575601517	-0.0412257367	0.1347286563	0.1125037874	0.1059762505	0.0953761056	-0.0121597	-0.01031672	0.00014785830409	0.0001064347115584	-0.0572631	0.0443589	0.0032790626216099	0.00196771200921	-0.117366	-6.599999999999662e-05	4.3559999999995536e-09	0.013774777956	-0.000358798	-0.00066714	4.4507577960000013e-07	1.28736004804e-07	-0.000508685	-0.0005221143	2.5876042922500005e-07	2.7260334226449005e-07	-0.000297265	-0.000297265	8.8366480225e-08	8.8366480225e-08
